ds;yhat
2024-12-10 13:00:00;11222.00296498376
2024-12-10 13:15:00;11193.555122693859
2024-12-10 13:30:00;11173.520922563464
2024-12-10 13:45:00;11162.804879440582
2024-12-10 14:00:00;11161.908617836965
2024-12-10 14:15:00;11170.8799090402
2024-12-10 14:30:00;11189.28474633886
2024-12-10 14:45:00;11216.205309456258
2024-12-10 15:00:00;11250.265044570815
2024-12-10 15:15:00;11289.6803401354
2024-12-10 15:30:00;11332.336529264354
2024-12-10 15:45:00;11375.884316066093
2024-12-10 16:00:00;11417.851317742263
2024-12-10 16:15:00;11455.762336819264
2024-12-10 16:30:00;11487.26130339205
2024-12-10 16:45:00;11510.227607937984
2024-12-10 17:00:00;11522.879800994395
2024-12-10 17:15:00;11523.86035446664
2024-12-10 17:30:00;11512.296318479022
2024-12-10 17:45:00;11487.832195527086
2024-12-10 18:00:00;11450.63309420909
2024-12-10 18:15:00;11401.358105827041
2024-12-10 18:30:00;11341.10574334554
2024-12-10 18:45:00;11271.33507038679
2024-12-10 19:00:00;11193.767707182962
2024-12-10 19:15:00;11110.277127273865
2024-12-10 19:30:00;11022.772470430979
2024-12-10 19:45:00;10933.084438200847
2024-12-10 20:00:00;10842.86068263995
2024-12-10 20:15:00;10753.477457898394
2024-12-10 20:30:00;10665.973215219117
2024-12-10 20:45:00;10581.00835742495
2024-12-10 21:00:00;10498.853624871901
2024-12-10 21:15:00;10419.407674839844
2024-12-10 21:30:00;10342.24246579932
2024-12-10 21:45:00;10266.673198179209
2024-12-10 22:00:00;10191.847914024374
2024-12-10 22:15:00;10116.85053083163
2024-12-10 22:30:00;10040.8101664333
2024-12-10 22:45:00;9963.009165858153
2024-12-10 23:00:00;9882.982291705219
2024-12-10 23:15:00;9800.600091829936
2024-12-10 23:30:00;9716.130468462405
2024-12-10 23:45:00;9630.27387882548
2024-12-11 00:00:00;9544.169305408177
2024-12-11 00:15:00;9459.37003300213
2024-12-11 00:30:00;9377.790230233803
2024-12-11 00:45:00;9301.625234629704
2024-12-11 01:00:00;9233.250150045675
2024-12-11 01:15:00;9175.102776976848
2024-12-11 01:30:00;9129.557916861142
2024-12-11 01:45:00;9098.800656742467
2024-12-11 02:00:00;9084.706312772927
2024-12-11 02:15:00;9088.734292962914
2024-12-11 02:30:00;9111.842255944075
2024-12-11 02:45:00;9154.425658084843
2024-12-11 03:00:00;9216.286181246805
2024-12-11 03:15:00;9296.63072422287
2024-12-11 03:30:00;9394.100745367075
2024-12-11 03:45:00;9506.829882680438
2024-12-11 04:00:00;9632.526076334072
2024-12-11 04:15:00;9768.572984448387
2024-12-11 04:30:00;9912.144408096368
2024-12-11 04:45:00;10060.324788579017
2024-12-11 05:00:00;10210.228654303395
2024-12-11 05:15:00;10359.112168598485
2024-12-11 05:30:00;10504.470649974115
2024-12-11 05:45:00;10644.117040086265
2024-12-11 06:00:00;10776.2377028572
2024-12-11 06:15:00;10899.423549477156
2024-12-11 06:30:00;11012.676188910593
2024-12-11 06:45:00;11115.39047787789
2024-12-11 07:00:00;11207.316378621079
2024-12-11 07:15:00;11288.504321665643
2024-12-11 07:30:00;11359.239228755509
2024-12-11 07:45:00;11419.968916674634
2024-12-11 08:00:00;11471.232745326271
2024-12-11 08:15:00;11513.596085572091
2024-12-11 08:30:00;11547.595495193309
2024-12-11 08:45:00;11573.698458012714
2024-12-11 09:00:00;11592.28024099217
2024-12-11 09:15:00;11603.618954863765
2024-12-11 09:30:00;11607.908374802959
2024-12-11 09:45:00;11605.28660041056
2024-12-11 10:00:00;11595.877318191828
2024-12-11 10:15:00;11579.839370600575
2024-12-11 10:30:00;11557.419611873811
2024-12-11 10:45:00;11529.003695216179
2024-12-11 11:00:00;11495.159514831961
2024-12-11 11:15:00;11456.66851504822
2024-12-11 11:30:00;11414.54094422218
2024-12-11 11:45:00;11370.012311593287
2024-12-11 12:00:00;11324.519718100797
2024-12-11 12:15:00;11279.65827510563
2024-12-11 12:30:00;11237.119387560808
2024-12-11 12:45:00;11198.614147217611
2024-12-11 13:00:00;11165.786348944644
2024-12-11 13:15:00;11140.12061421935
2024-12-11 13:30:00;11122.85170752822
2024-12-11 13:45:00;11114.881312777534
2024-12-11 14:00:00;11116.708278874205
2024-12-11 14:15:00;11128.377656977544
2024-12-11 14:30:00;11149.452776431563
2024-12-11 14:45:00;11179.013210496614
2024-12-11 15:00:00;11215.679858458801
2024-12-11 15:15:00;11257.666624062718
2024-12-11 15:30:00;11302.856421170898
2024-12-11 15:45:00;11348.89760393979
2024-12-11 16:00:00;11393.315512879204
2024-12-11 16:15:00;11433.632751465724
2024-12-11 16:30:00;11467.491132560925
2024-12-11 16:45:00;11492.768015228123
2024-12-11 17:00:00;11507.680007955745
2024-12-11 17:15:00;11510.867732963201
2024-12-11 17:30:00;11501.456485217283
2024-12-11 17:45:00;11479.089107946274
2024-12-11 18:00:00;11443.929146876348
2024-12-11 18:15:00;11396.634226277474
2024-12-11 18:30:00;11338.301486761897
2024-12-11 18:45:00;11270.388712030332
2024-12-11 19:00:00;11194.616332360623
2024-12-11 19:15:00;11112.856718040748
2024-12-11 19:30:00;11027.017989044389
2024-12-11 19:45:00;10938.929907132168
2024-12-11 20:00:00;10850.239261609984
2024-12-11 20:15:00;10762.321517834007
2024-12-11 20:30:00;10676.214410242283
2024-12-11 20:45:00;10592.577695008391
2024-12-11 21:00:00;10511.681535215901
2024-12-11 21:15:00;10433.424079988137
2024-12-11 21:30:00;10357.37684948931
2024-12-11 21:45:00;10282.854676546554
2024-12-11 22:00:00;10209.005308261978
2024-12-11 22:15:00;10134.912441438517
2024-12-11 22:30:00;10059.705049802966
2024-12-11 22:45:00;9982.665412518323
2024-12-11 23:00:00;9903.328306412735
2024-12-11 23:15:00;9821.564374612219
2024-12-11 23:30:00;9737.641696190885
2024-12-11 23:45:00;9652.260986344407
2024-12-12 00:00:00;9566.561565649186
2024-12-12 00:15:00;9482.097134709078
2024-12-12 00:30:00;9400.782352985276
2024-12-12 00:45:00;9324.813119905928
2024-12-12 01:00:00;9256.565167977644
2024-12-12 01:15:00;9198.47698810994
2024-12-12 01:30:00;9152.924128885905
2024-12-12 01:45:00;9122.092475756854
2024-12-12 02:00:00;9107.85818960244
2024-12-12 02:15:00;9111.681564559767
2024-12-12 02:30:00;9134.521182586443
2024-12-12 02:45:00;9176.77345700552
2024-12-12 03:00:00;9238.241057310997
2024-12-12 03:15:00;9318.131898701959
2024-12-12 03:30:00;9415.088483420352
2024-12-12 03:45:00;9527.245520382434
2024-12-12 04:00:00;9652.312047860041
2024-12-12 04:15:00;9787.672850093166
2024-12-12 04:30:00;9930.502883013025
2024-12-12 04:45:00;10077.88777298794
2024-12-12 05:00:00;10226.94326468222
2024-12-12 05:15:00;10374.926769749025
2024-12-12 05:30:00;10519.33488756325
